data;

param n := 10;

param m := 10;

param sigma :  1 2 3 4 5 6 7 8 9 10 := 
          1    8 9 6 4 5 7 3 1 10 2 
          2    6 3 9 10 2 5 8 4 1 7 
          3    2 8 7 3 10 1 5 4 9 6 
          4    5 9 6 10 4 7 3 2 1 8 
          5    9 10 8 4 5 1 2 6 7 3 
          6    4 10 6 3 5 2 7 9 1 8 
          7    6 3 8 7 10 1 5 9 4 2 
          8    5 7 6 9 10 3 1 2 8 4 
          9    10 7 6 9 8 1 4 2 5 3 
          10    1 4 8 3 2 6 9 5 10 7 ;
param p :  1 2 3 4 5 6 7 8 9 10 := 
          1    62 24 25 84 47 38 82 93 24 66 
          2    47 97 92 22 93 29 56 80 78 67 
          3    45 46 22 26 38 69 40 33 75 96 
          4    85 76 68 88 36 75 56 35 77 85 
          5    60 20 25 63 81 52 30 98 54 86 
          6    87 73 51 95 65 86 22 58 80 65 
          7    81 53 57 71 81 43 26 54 58 69 
          8    20 86 21 79 62 34 27 81 30 46 
          9    68 66 98 86 66 56 82 95 47 78 
          10    30 50 34 58 77 34 84 40 46 44 ;

end;

