type,try,maxstep,first,last,time,cuts
SA,0,1000,47.0,46.99999999999999,4.48,277
SA,1,1000,47.0,47.0,4.16,346
SA,2,1000,47.0,46.99999999999999,3.46,274
SA,3,1000,47.0,47.0,2.59,200
SA,4,1000,47.0,47.00000000000001,3.08,217
SA,0,5000,47.0,48.00513681899416,14.3,312
SA,1,5000,47.0,47.0,13.61,397
SA,2,5000,47.0,47.0,10.24,338
SA,3,5000,47.0,46.99999999999999,7.94,204
SA,4,5000,47.0,46.99999999999999,9.02,229
SA,0,10000,47.0,47.00000000000001,24.76,417
SA,1,10000,47.0,47.0,23.54,483
SA,2,10000,47.0,47.0,12.69,292
SA,3,10000,47.0,46.99999999999999,16.8,290
SA,4,10000,47.0,47.0,23.57,444
SA,0,50000,47.0,46.99999999999999,52.04,396
SA,1,50000,47.0,47.0,91.73,699
SA,2,50000,47.0,46.999999999999986,58.78,387
SA,3,50000,47.0,47.0,109.88,549
SA,4,50000,47.0,47.0,38.21,365
SA,0,100000,47.0,47.0,238.05,883
SA,1,100000,47.0,47.76770061303509,181.99,551
SA,2,100000,47.0,47.0,129.9,500
SA,3,100000,47.0,47.00000000000001,133.78,535
SA,4,100000,47.0,47.00000000000001,232.84,732
SA,0,500000,47.0,47.00000000000001,773.83,722
SA,1,500000,47.0,46.99999999999999,1021.27,807
SA,2,500000,47.0,47.0,718.9,750
SA,3,500000,47.0,47.0,579.25,700
SA,4,500000,47.0,46.99999999999998,667.68,650
SA,0,1000000,47.0,46.99999999999999,2982.72,920
SA,1,1000000,47.0,47.0,3692.08,1215
SA,2,1000000,47.0,46.99999999999999,1306.08,750
SA,3,1000000,47.0,46.99999999999999,1242.51,603
SA,4,1000000,47.0,47.0,1629.37,800
