type,try,maxstep,first,last,time,cuts
SA,0,1000,394.0,394.00000000000006,18.04,295
SA,1,1000,394.0,394.0,27.91,493
SA,2,1000,394.0,394.0,42.26,397
SA,3,1000,394.0,394.0,43.65,386
SA,4,1000,394.0,394.0,1.37,0
SA,0,5000,394.0,394.0,36.52,531
SA,1,5000,394.0,394.0,41.91,884
SA,2,5000,394.0,393.99999999999983,59.97,1121
SA,3,5000,394.0,394.0,49.72,794
SA,4,5000,394.0,394.0,103.07,1023
SA,0,10000,394.0,394.0,156.09,967
SA,1,10000,394.0,394.0,37.38,447
SA,2,10000,394.0,394.0,150.33,981
SA,3,10000,394.0,394.00000000000006,112.14,1067
SA,4,10000,394.0,393.99999999999994,278.07,869
SA,0,50000,394.0,394.0,514.65,1607
SA,1,50000,394.0,393.99999999999994,424.79,1540
SA,2,50000,394.0,394.0,316.7,1017
SA,3,50000,394.0,393.99999999999994,416.79,1083
SA,4,50000,394.0,394.00000000000006,502.99,1650
SA,0,100000,394.0,393.99999999999994,684.27,1310
SA,1,100000,394.0,397.0463310523601,554.63,1554
SA,2,100000,394.0,394.0,844.94,1694
SA,3,100000,394.0,394.00000000000006,1435.42,1275
SA,4,100000,394.0,393.99999999999994,441.03,1374
SA,0,500000,394.0,394.0,3139.83,1536
SA,1,500000,394.0,394.0,2638.31,1578
SA,2,500000,394.0,394.0,2958.86,1695
SA,3,500000,394.0,409.2847035483957,4476.19,1132
SA,4,500000,394.0,394.0,1902.25,1019
SA,0,1000000,394.0,394.0,4684.66,1321
SA,1,1000000,394.0,394.0,3766.11,1150
SA,2,1000000,394.0,395.9411449369608,2833.3,1211
SA,3,1000000,394.0,396.95605630366776,4394.82,1798
SA,4,1000000,394.0,394.0000000000001,4055.44,1601
