type,try,maxstep,first,last,time,cuts
SA,0,1000,394.0,394.0,36.97,555
SA,1,1000,394.0,394.00000000000006,112.13,944
SA,2,1000,394.0,394.17895554393516,150.61,1540
SA,3,1000,394.0,394.00000000000006,46.8,1016
SA,4,1000,394.0,394.0000000000001,51.78,918
SA,0,5000,394.0,394.00000000000006,54.48,934
SA,1,5000,394.0,393.99999999999994,118.1,895
SA,2,5000,394.0,394.0,46.37,600
SA,3,5000,394.0,396.6490426406304,41.33,884
SA,4,5000,394.0,394.7256423803205,92.85,1005
SA,0,10000,394.0,394.00000000000006,232.98,1434
SA,1,10000,394.0,394.1250637569436,501.79,1550
SA,2,10000,394.0,394.0,114.89,1300
SA,3,10000,394.0,394.25014049690424,420.89,1145
SA,4,10000,394.0,394.0,97.48,1266
SA,0,50000,394.0,402.7982665643859,726.2,1370
SA,1,50000,394.0,394.18251823437055,398.19,1066
SA,2,50000,394.0,394.0,867.6,1630
SA,3,50000,394.0,394.0,697.55,1461
SA,4,50000,394.0,398.8186186492036,417.33,1181
SA,0,100000,394.0,394.8980793580091,1291.54,1845
SA,1,100000,394.0,394.0,1375.51,1499
SA,2,100000,394.0,394.9173614902759,1312.16,1680
SA,3,100000,394.0,394.00000000000006,1496.26,1693
SA,4,100000,394.0,402.7840848154172,3128.94,3300
SA,0,500000,394.0,422.78745100709597,5689.6,1809
SA,1,500000,394.0,423.9723977523805,7770.92,1817
SA,2,500000,394.0,412.43154041874783,9131.26,2125
SA,3,500000,394.0,406.21412300003567,6340.61,1674
SA,4,500000,394.0,408.19668569204737,7705.52,1801
SA,0,1000000,394.0,407.5290284527235,11679.56,1300
SA,1,1000000,394.0,407.8533302422765,12839.33,1561
SA,2,1000000,394.0,407.30581912260084,12621.9,1853
SA,3,1000000,394.0,402.8625602426441,15781.68,1610
SA,4,1000000,394.0,406.14087235306476,11716.68,2158
