type,try,maxstep,minimum,maximum,exact,first,last,time,cuts
SA,0,1000,2,3,0,15.0,21.3,0.76,10
SA,1,1000,2,3,0,15.0,21.3,0.67,6
SA,2,1000,2,3,0,15.0,21.3,0.69,6
SA,3,1000,2,3,0,15.0,21.3,0.69,7
SA,4,1000,2,3,0,15.0,21.3,0.67,11
SA,0,5000,2,3,0,15.0,21.3,1.32,9
SA,1,5000,2,3,0,15.0,21.3,1.33,8
SA,2,5000,2,3,0,15.0,21.3,0.99,8
SA,3,5000,2,3,0,15.0,21.3,1.35,8
SA,4,5000,2,3,0,15.0,21.3,0.99,7
SA,0,10000,2,3,0,15.0,21.3,1.94,10
SA,1,10000,2,3,0,15.0,21.3,1.8,8
SA,2,10000,2,3,0,15.0,21.3,1.81,8
SA,3,10000,2,3,0,15.0,21.3,1.95,10
SA,4,10000,2,3,0,15.0,21.3,1.82,6
SA,0,50000,2,3,0,15.0,21.3,3.89,10
SA,1,50000,2,3,0,15.0,21.3,2.83,8
SA,2,50000,2,3,0,15.0,21.3,4.16,11
SA,3,50000,2,3,0,15.0,21.3,2.87,8
SA,4,50000,2,3,0,15.0,21.3,3.9,10
SA,0,100000,2,3,0,15.0,21.3,5.39,10
SA,1,100000,2,3,0,15.0,21.3,5.44,9
SA,2,100000,2,3,0,15.0,21.3,4.12,9
SA,3,100000,2,3,0,15.0,21.3,6.34,10
SA,4,100000,2,3,0,15.0,21.3,4.35,9
SA,0,500000,2,3,0,15.0,21.3,12.69,11
SA,1,500000,2,3,0,15.0,21.3,9.67,8
SA,2,500000,2,3,0,15.0,21.3,13.06,11
SA,3,500000,2,3,0,15.0,21.3,14.2,11
SA,4,500000,2,3,0,15.0,21.3,14.11,10
SA,0,1000000,2,3,0,15.0,21.3,18.12,10
SA,1,1000000,2,3,0,15.0,21.3,29.67,9
SA,2,1000000,2,3,0,15.0,21.3,26.41,7
SA,3,1000000,2,3,0,15.0,21.3,18.97,9
SA,4,1000000,2,3,0,15.0,21.3,26.35,9
