type,try,maxstep,minimum,maximum,exact,first,last,time,cuts
SA,0,1000,5,4,11,29.0,30.440683760683754,0.49,30
SA,1,1000,5,4,11,29.0,30.440683760683754,0.4,30
SA,2,1000,5,4,11,29.0,30.440683760683754,0.4,30
SA,3,1000,5,4,11,29.0,30.440683760683754,0.45,30
SA,4,1000,5,4,11,29.0,30.440683760683754,0.45,30
SA,0,5000,5,4,11,29.0,30.440683760683754,0.44,30
SA,1,5000,5,4,11,29.0,30.440683760683754,0.41,30
SA,2,5000,5,4,11,29.0,30.440683760683754,0.41,30
SA,3,5000,5,4,11,29.0,30.440683760683754,0.4,30
SA,4,5000,5,4,11,29.0,30.440683760683754,0.41,30
SA,0,10000,5,4,11,29.0,30.440683760683754,0.44,30
SA,1,10000,5,4,11,29.0,30.440683760683754,0.41,30
SA,2,10000,5,4,11,29.0,30.440683760683754,0.39,30
SA,3,10000,5,4,11,29.0,30.440683760683754,0.39,30
SA,4,10000,5,4,11,29.0,30.440683760683754,0.39,30
SA,0,50000,5,4,11,29.0,30.440683760683754,0.39,30
SA,1,50000,5,4,11,29.0,30.440683760683754,0.39,30
SA,2,50000,5,4,11,29.0,30.440683760683754,0.39,30
SA,3,50000,5,4,11,29.0,30.440683760683754,0.39,30
SA,4,50000,5,4,11,29.0,30.440683760683754,0.39,30
SA,0,100000,5,4,11,29.0,30.440683760683754,0.38,30
SA,1,100000,5,4,11,29.0,30.440683760683754,0.39,30
SA,2,100000,5,4,11,29.0,30.440683760683754,0.39,30
SA,3,100000,5,4,11,29.0,30.440683760683754,0.39,30
SA,4,100000,5,4,11,29.0,30.440683760683754,0.39,30
SA,0,500000,5,4,11,29.0,30.440683760683754,0.4,30
SA,1,500000,5,4,11,29.0,30.440683760683754,0.41,30
SA,2,500000,5,4,11,29.0,30.440683760683754,0.4,30
SA,3,500000,5,4,11,29.0,30.440683760683754,0.38,30
SA,4,500000,5,4,11,29.0,30.440683760683754,0.38,30
SA,0,1000000,5,4,11,29.0,30.440683760683754,0.39,30
SA,1,1000000,5,4,11,29.0,30.440683760683754,0.39,30
SA,2,1000000,5,4,11,29.0,30.440683760683754,0.39,30
SA,3,1000000,5,4,11,29.0,30.440683760683754,0.39,30
SA,4,1000000,5,4,11,29.0,30.440683760683754,0.4,30
