type,lc,hc,first,last,time,cuts
mip,2,3,29.0,30.3888889216,0.12,26
mip,2,4,29.0,30.440683792044293,0.19,37
mip,3,3,29.0,30.3888889216,0.06,17
mip,3,4,29.0,30.440683792044293,0.11,27
type,try,maxstep,first,last,time,cuts
SA,0,1000,29.0,29.0,4.84,31
SA,1,1000,29.0,29.000000000000004,3.42,26
SA,2,1000,29.0,29.0,2.47,16
SA,3,1000,29.0,29.0,7.13,44
SA,4,1000,29.0,29.0,3.38,26
SA,0,2000,29.0,29.000000000000004,7.85,36
SA,1,2000,29.0,28.999999999999996,7.71,37
SA,2,2000,29.0,29.0,4.8,21
SA,3,2000,29.0,29.14936329956264,19.0,60
SA,4,2000,29.0,29.0,11.51,58
SA,0,3000,29.0,29.000000000000004,19.99,55
SA,1,3000,29.0,29.000000000000007,7.15,25
SA,2,3000,29.0,29.0,24.2,71
SA,3,3000,29.0,29.007596443397347,29.91,87
SA,4,3000,29.0,29.000000000000004,12.25,40
