type,try,maxstep,minimum,maximum,exact,first,last,time,cuts
SA,0,1000,4,4,10,29.0,30.38888888888888,0.88,24
SA,1,1000,4,4,10,29.0,30.38888888888888,0.75,24
SA,2,1000,4,4,10,29.0,30.38888888888888,0.75,24
SA,3,1000,4,4,10,29.0,30.38888888888888,0.74,24
SA,4,1000,4,4,10,29.0,30.38888888888888,0.78,24
SA,0,5000,4,4,10,29.0,30.38888888888888,0.76,24
SA,1,5000,4,4,10,29.0,30.38888888888888,0.6,24
SA,2,5000,4,4,10,29.0,30.38888888888888,0.57,24
SA,3,5000,4,4,10,29.0,30.38888888888888,0.68,24
SA,4,5000,4,4,10,29.0,30.38888888888888,0.72,24
SA,0,10000,4,4,10,29.0,30.38888888888888,0.73,24
SA,1,10000,4,4,10,29.0,30.38888888888888,0.72,24
SA,2,10000,4,4,10,29.0,30.38888888888888,0.76,24
SA,3,10000,4,4,10,29.0,30.38888888888888,0.78,24
SA,4,10000,4,4,10,29.0,30.38888888888888,0.73,24
SA,0,50000,4,4,10,29.0,30.38888888888888,0.71,24
SA,1,50000,4,4,10,29.0,30.38888888888888,0.71,24
SA,2,50000,4,4,10,29.0,30.38888888888888,0.7,24
SA,3,50000,4,4,10,29.0,30.38888888888888,0.58,24
SA,4,50000,4,4,10,29.0,30.38888888888888,0.75,24
SA,0,100000,4,4,10,29.0,30.38888888888888,0.72,24
SA,1,100000,4,4,10,29.0,30.38888888888888,0.71,24
SA,2,100000,4,4,10,29.0,30.38888888888888,0.74,24
SA,3,100000,4,4,10,29.0,30.38888888888888,0.65,24
SA,4,100000,4,4,10,29.0,30.38888888888888,0.7,24
SA,0,500000,4,4,10,29.0,30.38888888888888,0.7,24
SA,1,500000,4,4,10,29.0,30.38888888888888,0.69,24
SA,2,500000,4,4,10,29.0,30.38888888888888,0.69,24
SA,3,500000,4,4,10,29.0,30.38888888888888,0.69,24
SA,4,500000,4,4,10,29.0,30.38888888888888,0.69,24
SA,0,1000000,4,4,10,29.0,30.38888888888888,0.66,24
SA,1,1000000,4,4,10,29.0,30.38888888888888,0.58,24
SA,2,1000000,4,4,10,29.0,30.38888888888888,0.56,24
SA,3,1000000,4,4,10,29.0,30.38888888888888,0.54,24
SA,4,1000000,4,4,10,29.0,30.38888888888888,0.39,24
