type,try,maxstep,minimum,maximum,exact,first,last,time,cuts
SA,0,1000,2,4,0,29.0,30.440683760683765,3.84,28
SA,1,1000,2,4,0,29.0,30.440683760683765,3.78,29
SA,2,1000,2,4,0,29.0,30.440683760683754,2.98,28
SA,3,1000,2,4,0,29.0,30.440683760683758,4.55,26
SA,4,1000,2,4,0,29.0,30.44068376068375,2.22,23
SA,0,5000,2,4,0,29.0,30.440683760683758,5.09,25
SA,1,5000,2,4,0,29.0,30.440683760683758,6.38,30
SA,2,5000,2,4,0,29.0,30.44068376068375,3.87,27
SA,3,5000,2,4,0,29.0,30.44068376068377,7.52,31
SA,4,5000,2,4,0,29.0,30.44068376068376,6.35,32
SA,0,10000,2,4,0,29.0,30.44068376068375,5.0,25
SA,1,10000,2,4,0,29.0,30.44068376068377,9.92,31
SA,2,10000,2,4,0,29.0,30.44068376068377,9.96,28
SA,3,10000,2,4,0,29.0,30.440683760683754,5.0,28
SA,4,10000,2,4,0,29.0,30.440683760683758,5.03,26
SA,0,50000,2,4,0,29.0,30.440683760683754,10.49,30
SA,1,50000,2,4,0,29.0,30.44068376068375,10.39,25
SA,2,50000,2,4,0,29.0,30.44068376068375,10.02,26
SA,3,50000,2,4,0,29.0,30.440683760683754,10.18,30
SA,4,50000,2,4,0,29.0,30.440683760683754,10.05,30
SA,0,100000,2,4,0,29.0,30.440683760683754,14.02,29
SA,1,100000,2,4,0,29.0,30.440683760683754,13.9,30
SA,2,100000,2,4,0,29.0,30.440683760683754,14.11,29
SA,3,100000,2,4,0,29.0,30.440683760683754,13.99,30
SA,4,100000,2,4,0,29.0,30.440683760683754,13.93,28
SA,0,500000,2,4,0,29.0,30.440683760683754,29.58,30
SA,1,500000,2,4,0,29.0,30.44068376068376,48.87,34
SA,2,500000,2,4,0,29.0,30.440683760683754,29.5,30
SA,3,500000,2,4,0,29.0,30.440683760683765,29.85,27
SA,4,500000,2,4,0,29.0,30.440683760683754,28.49,30
SA,0,1000000,2,4,0,29.0,30.440683760683754,41.07,29
SA,1,1000000,2,4,0,29.0,30.44068376068376,52.15,36
SA,2,1000000,2,4,0,29.0,30.440683760683754,31.19,30
SA,3,1000000,2,4,0,29.0,30.440683760683754,28.84,30
SA,4,1000000,2,4,0,29.0,30.440683760683754,31.1,29
