type,try,maxstep,minimum,maximum,exact,first,last,time,cuts
SA,0,1000,5,4,11,29.0,30.440683760683754,1.06,30
SA,1,1000,5,4,11,29.0,30.440683760683754,0.91,30
SA,2,1000,5,4,11,29.0,30.440683760683754,0.89,30
SA,3,1000,5,4,11,29.0,30.440683760683754,0.92,30
SA,4,1000,5,4,11,29.0,30.440683760683754,0.91,30
SA,0,5000,5,4,11,29.0,30.440683760683754,0.9,30
SA,1,5000,5,4,11,29.0,30.440683760683754,0.87,30
SA,2,5000,5,4,11,29.0,30.440683760683754,0.9,30
SA,3,5000,5,4,11,29.0,30.440683760683754,0.9,30
SA,4,5000,5,4,11,29.0,30.440683760683754,0.92,30
SA,0,10000,5,4,11,29.0,30.440683760683754,0.83,30
SA,1,10000,5,4,11,29.0,30.440683760683754,0.61,30
SA,2,10000,5,4,11,29.0,30.440683760683754,0.75,30
SA,3,10000,5,4,11,29.0,30.440683760683754,0.87,30
SA,4,10000,5,4,11,29.0,30.440683760683754,0.89,30
SA,0,50000,5,4,11,29.0,30.440683760683754,0.65,30
SA,1,50000,5,4,11,29.0,30.440683760683754,0.81,30
SA,2,50000,5,4,11,29.0,30.440683760683754,0.67,30
SA,3,50000,5,4,11,29.0,30.440683760683754,0.67,30
SA,4,50000,5,4,11,29.0,30.440683760683754,0.71,30
SA,0,100000,5,4,11,29.0,30.440683760683754,0.73,30
SA,1,100000,5,4,11,29.0,30.440683760683754,0.75,30
SA,2,100000,5,4,11,29.0,30.440683760683754,0.87,30
SA,3,100000,5,4,11,29.0,30.440683760683754,0.87,30
SA,4,100000,5,4,11,29.0,30.440683760683754,0.87,30
SA,0,500000,5,4,11,29.0,30.440683760683754,0.87,30
SA,1,500000,5,4,11,29.0,30.440683760683754,0.58,30
SA,2,500000,5,4,11,29.0,30.440683760683754,0.89,30
SA,3,500000,5,4,11,29.0,30.440683760683754,0.81,30
SA,4,500000,5,4,11,29.0,30.440683760683754,0.86,30
SA,0,1000000,5,4,11,29.0,30.440683760683754,0.87,30
SA,1,1000000,5,4,11,29.0,30.440683760683754,0.73,30
SA,2,1000000,5,4,11,29.0,30.440683760683754,0.71,30
SA,3,1000000,5,4,11,29.0,30.440683760683754,0.65,30
SA,4,1000000,5,4,11,29.0,30.440683760683754,0.68,30
