type,try,maxstep,first,last,time,cuts
SA,0,1000,29.0,29.605386039939024,4.48,231
SA,1,1000,29.0,29.000000000000004,2.28,256
SA,2,1000,29.0,29.75059396731842,2.26,195
SA,3,1000,29.0,29.0,2.27,180
SA,4,1000,29.0,29.150523221440807,3.04,276
SA,0,5000,29.0,29.710936447098682,25.9,506
SA,1,5000,29.0,29.67624339611275,22.93,403
SA,2,5000,29.0,29.535487069794378,26.7,505
SA,3,5000,29.0,29.479123622828737,19.09,361
SA,4,5000,29.0,29.15610761271443,11.42,250
SA,0,10000,29.0,29.000000000000004,15.1,150
SA,1,10000,29.0,29.60506976104758,22.68,300
SA,2,10000,29.0,29.76844183696084,60.52,343
SA,3,10000,29.0,29.42378649651625,38.04,417
SA,4,10000,29.0,29.62794466777253,45.22,333
SA,0,50000,29.0,29.863040872496363,151.2,350
SA,1,50000,29.0,30.03296427947645,301.3,356
SA,2,50000,29.0,29.860793844507402,189.07,388
SA,3,50000,29.0,30.150298198250425,188.57,409
SA,4,50000,29.0,29.72834431701948,150.82,350
SA,0,100000,29.0,29.862692966216283,528.38,450
SA,1,100000,29.0,30.33235045391154,604.81,332
SA,2,100000,29.0,30.143620629267318,302.77,303
SA,3,100000,29.0,29.852559646541796,454.92,506
SA,4,100000,29.0,29.88549119578907,301.5,400
SA,0,500000,29.0,29.873727048552634,2249.47,571
SA,1,500000,29.0,30.03707038167537,1129.23,350
SA,2,500000,29.0,29.97076597456027,2409.74,565
SA,3,500000,29.0,29.886141851069873,2240.44,456
SA,4,500000,29.0,29.861823525935716,1505.12,402
SA,0,1000000,29.0,30.310973630126337,4493.34,524
SA,1,1000000,29.0,29.900359896368546,3784.13,480
SA,2,1000000,29.0,30.04339821911151,3712.46,509
SA,3,1000000,29.0,29.964970235455343,3724.45,489
SA,4,1000000,29.0,30.22387691512971,3737.11,318
