Step # 0/1000 : T =    1, chosen = [1 1 0 1], t = [0.09583299 0.3845126  0.         0.23107541], cost = 4.39, new_chosen = [1 1 0 1], new_t = [0.09583299 0.39220285 0.         0.23107541], new_cost = 4.39 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step # 1/1000 : T = 0.999, chosen = [1 1 0 1], t = [0.09583299 0.39220285 0.         0.23107541], cost = 4.39, new_chosen = [1 1 0 1], new_t = [0.09583299 0.36474865 0.         0.23107541], new_cost = 4.39 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step # 2/1000 : T = 0.998, chosen = [1 1 0 1], t = [0.09583299 0.36474865 0.         0.23107541], cost = 4.39, new_chosen = [1 1 0 1], new_t = [0.09583299 0.36474865 0.         0.25418295], new_cost = 4.83 ...    - Acceptance probabilty = 0.644...  ==> Reject it...
Step # 3/1000 : T = 0.997, chosen = [1 1 0 1], t = [0.09583299 0.36474865 0.         0.23107541], cost = 4.39, new_chosen = [1 1 0 1], new_t = [0.049206   0.36474865 0.         0.23107541], new_cost = 4.39 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step # 4/1000 : T = 0.996, chosen = [1 1 0 1], t = [0.049206   0.36474865 0.         0.23107541], cost = 4.39, new_chosen = [1 1 0 1], new_t = [0.049206   0.36474865 0.         0.24493994], new_cost = 4.65 ...    - Acceptance probabilty = 0.768...  ==> Reject it...
Step # 5/1000 : T = 0.995, chosen = [1 1 0 1], t = [0.049206   0.36474865 0.         0.23107541], cost = 4.39, new_chosen = [1 1 0 1], new_t = [0.049206   0.37569111 0.         0.23107541], new_cost = 4.39 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step # 6/1000 : T = 0.994, chosen = [1 1 0 1], t = [0.049206   0.37569111 0.         0.23107541], cost = 4.39, new_chosen = [1 1 0 1], new_t = [0.05215836 0.37569111 0.         0.23107541], new_cost = 4.39 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step # 7/1000 : T = 0.993, chosen = [1 1 0 1], t = [0.05215836 0.37569111 0.         0.23107541], cost = 4.39, new_chosen = [1 1 0 1], new_t = [0.05215836 0.37569111 0.         0.52993072], new_cost = 10.1 ...    - Acceptance probabilty = 0.00329...  ==> Reject it...
Step # 8/1000 : T = 0.992, chosen = [1 1 0 1], t = [0.05215836 0.37569111 0.         0.23107541], cost = 4.39, new_chosen = [1 1 0 1], new_t = [0.05215836 0.37569111 0.         0.87769232], new_cost = 16.7 ...    - Acceptance probabilty = 4.18e-06...  ==> Reject it...
Step # 9/1000 : T = 0.991, chosen = [1 1 0 1], t = [0.05215836 0.37569111 0.         0.23107541], cost = 4.39, new_chosen = [1 1 0 0], new_t = [0.05215836 0.37569111 0.         0.        ], new_cost = 1e+03 ...    - Acceptance probabilty = 0...  ==> Reject it...
Step #10/1000 : T = 0.99, chosen = [1 1 0 1], t = [0.05215836 0.37569111 0.         0.23107541], cost = 4.39, new_chosen = [1 1 0 1], new_t = [0.05633103 0.37569111 0.         0.23107541], new_cost = 4.39 ...    - Acceptance probabilty = 1...  ==> Accept it!
