otimo, inicial, final, totalCG
-23.0, -27.25, -27.25, 0
-21.0, -22.714285714285715, -22.714285714285715, 0
-4.0, -7.0, -7.0, 0
-1.0, -1.3333333333333333, -1.0, 1
-8.0, -10.0, -8.0, 3
-1.0, -6.892857142857144, -6.892857142857144, 0
-15.0, -17.941176470588232, -15.0, 7
-2.0, -4.626086956521739, -4.626086956521739, 0
-21.0, -21.866666666666667, -21.866666666666667, 0
-15.0, -16.2, -16.2, 0
-22.0, -22.84, -22.066666666666666, 20
-12.0, -27.0, -27.0, 0
-4.0, -8.166666666666668, -8.166666666666668, 0
1.0, -3.666666666666667, -3.666666666666667, 0
5.0, 0.0, 5.0, 4
-3.0, -3.2222222222222223, -3.2222222222222223, 0
-14.0, -18.0, -18.0, 0
3.0, -17.787401574803148, -17.787401574803148, 0
-6.0, -6.8, -6.8, 0
0.0, -1.5, -1.5, 0
-6.0, -8.2, -8.2, 0
-22.0, -24.0, -24.0, 0
-25.0, -27.4, -27.4, 0
-18.0, -19.2, -19.2, 0
1.0, 0.20000000000000018, 0.20000000000000018, 0
-5.0, -5.666666666666667, -5.666666666666667, 0
-4.0, -4.222222222222222, -4.222222222222222, 0
-3.0, -6.047619047619049, -3.0, 3
-15.0, -15.5, -15.5, 0
-1.0, -2.8095238095238093, -2.333333333333333, 4
-20.0, -22.0, -20.0, 1
-5.0, -5.5, -5.0, 1
-15.0, -16.142857142857142, -15.0, 2
-11.0, -12.0, -12.0, 0
-3.0, -3.2941176470588234, -3.0, 3
14.0, 9.176470588235293, 9.176470588235293, 0
0.0, -7.5, -7.5, 1
-17.0, -22.25, -22.25, 0
0.0, -8.842105263157896, 0.0, 3
10.0, -5.5, -4.0, 1
5.0, -1.5517241379310345, -1.5517241379310345, 0
-12.0, -12.875, -12.875, 0
0.0, -2.0740740740740744, -0.9090909090909092, 9
0.0, -1.3333333333333333, 0.0, 4
-5.0, -5.6, -5.333333333333333, 1
0.0, -3.0, 0.0, 3
-13.0, -13.714285714285714, -13.714285714285714, 0
-6.0, -24.25, -24.25, 0
-13.0, -16.324324324324326, -16.324324324324326, 0
-5.0, -22.36842105263158, -22.36842105263158, 0
