otimo, inicial, final, totalCG
-23.0, -27.25, -26.75, 1
-21.0, -22.714285714285715, -21.428571428571427, 2
-4.0, -7.0, -6.857142857142875, 3
-1.0, -1.3333333333333333, -1.0, 1
-8.0, -10.0, -9.666666666666668, 2
-1.0, -6.892857142857144, -6.666666666666664, 4
-15.0, -17.941176470588232, -15.0, 6
-2.0, -4.626086956521739, -4.518181818181816, 4
-21.0, -21.866666666666667, -21.833333333333336, 1
-15.0, -16.2, -16.2, 1
-22.0, -22.84, -22.066666666666666, 20
-12.0, -27.0, -17.454545454545453, 12
-4.0, -8.166666666666668, -6.5, 1
1.0, -3.666666666666667, -3.6666666666666665, 1
5.0, 0.0, 5.0, 3
-3.0, -3.2222222222222223, -3.0, 1
-14.0, -18.0, -18.0, 2
3.0, -17.787401574803148, -14.142857142857142, 6
-6.0, -6.8, -6.0, 2
0.0, -1.5, 0.0, 2
-6.0, -8.2, -6.0, 5
-22.0, -24.0, -22.0, 2
-25.0, -27.4, -27.0, 2
-18.0, -19.2, -18.75, 1
1.0, 0.20000000000000018, 1.0, 1
-5.0, -5.666666666666667, -5.666666666666667, 1
-4.0, -4.222222222222222, -4.0, 2
-3.0, -6.047619047619049, -3.0, 8
-15.0, -15.5, -15.333333333333334, 2
-1.0, -2.8095238095238093, -2.333333333333333, 4
-20.0, -22.0, -20.0, 1
-5.0, -5.5, -5.0, 1
-15.0, -16.142857142857142, -15.0, 6
-11.0, -12.0, -12.0, 0
-3.0, -3.2941176470588234, -3.0, 3
14.0, 9.176470588235293, 13.428571428571429, 2
0.0, -7.5, 0.0, 3
-17.0, -22.25, -22.25, 0
0.0, -8.842105263157896, 0.0, 4
10.0, -5.5, -6.661338147750939e-15, 1
5.0, -1.5517241379310345, 5.551115123125783e-16, 9
-12.0, -12.875, -12.8, 4
0.0, -2.0740740740740744, 0.0, 12
0.0, -1.3333333333333333, 0.0, 1
-5.0, -5.6, -5.0, 3
0.0, -3.0, 0.0, 3
-13.0, -13.714285714285714, -13.714285714285714, 0
-6.0, -24.25, -21.4, 5
-13.0, -16.324324324324326, -15.534883720930232, 10
-5.0, -22.36842105263158, -15.909090909090907, 4
