Academic license - for non-commercial use only
Set parameter TimeLimit to value 7200

Gurobi Optimizer version 8.0.0 build v8.0.0rc0 (linux64)
Copyright (c) 2018, Gurobi Optimization, LLC

Read LP format model from file flow/la02.lp
Reading time = 0.40 seconds
: 24200 rows, 41541 columns, 1131026 nonzeros
Optimize a model with 24200 rows, 41541 columns and 1131026 nonzeros
Variable types: 0 continuous, 41541 integer (41540 binary)
Coefficient statistics:
  Matrix range     [1e+00, 7e+02]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Presolve removed 4477 rows and 4179 columns
Presolve time: 3.65s
Presolved: 19723 rows, 37362 columns, 1101231 nonzeros
Variable types: 0 continuous, 37362 integer (37361 binary)

Deterministic concurrent LP optimizer: primal and dual simplex
Showing first log only...

Presolve removed 23 rows and 23 columns
Presolved: 19700 rows, 37339 columns, 1101185 nonzeros

Presolve removed 11 rows and 4 columns

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    1017    0.0000000e+00   9.994942e+00   1.225700e+10      5s
    4801    0.0000000e+00   1.436255e+00   2.855098e+09     10s
    7897    0.0000000e+00   4.790204e-01   6.474597e+09     15s
    9224    4.1429000e+04   0.000000e+00   1.600000e+01     17s
   11116    5.7268884e+02   0.000000e+00   6.555900e+05     20s
   14384    5.2946014e+02   0.000000e+00   6.040159e+04     25s
   17652    5.1465307e+02   0.000000e+00   1.294805e+05     30s
   19899    5.1008076e+02   0.000000e+00   1.323123e+06     35s
   21776    5.0829415e+02   0.000000e+00   5.349715e+05     40s
   23540    5.0643531e+02   0.000000e+00   3.196966e+06     45s
   25331    5.0466771e+02   0.000000e+00   9.587754e+05     50s
   27017    5.0372529e+02   0.000000e+00   1.174535e+05     55s
   28678    5.0310232e+02   0.000000e+00   3.356841e+05     60s
   30301    5.0210500e+02   0.000000e+00   3.603593e+06     65s
   31785    5.0166919e+02   0.000000e+00   9.055702e+04     70s
   33052    5.0120710e+02   0.000000e+00   1.457100e+06     75s
   33822    5.0092009e+02   0.000000e+00   1.480418e+06     80s
   34622    5.0037624e+02   0.000000e+00   1.923914e+06     85s
   35422    5.0009630e+02   0.000000e+00   4.606323e+06     90s
   36222    4.9985777e+02   0.000000e+00   7.135474e+05     95s
   37022    4.9959005e+02   0.000000e+00   2.023448e+05    100s
   37832    4.9914377e+02   0.000000e+00   8.680934e+05    105s
   38642    4.9846408e+02   0.000000e+00   1.308690e+06    110s
   39442    4.9815818e+02   0.000000e+00   7.792284e+05    116s
   40092    4.9791319e+02   0.000000e+00   2.839576e+05    120s
   40892    4.9750612e+02   0.000000e+00   8.758191e+05    125s
   41712    4.9718035e+02   0.000000e+00   9.455989e+05    131s
   42362    4.9698624e+02   0.000000e+00   3.636202e+04    136s
   43012    4.9682116e+02   0.000000e+00   3.919227e+05    140s
   43862    4.9652199e+02   0.000000e+00   1.724825e+05    146s
   44532    4.9628939e+02   0.000000e+00   3.126270e+05    150s
   45222    4.9603008e+02   0.000000e+00   3.171464e+05    155s
   46082    4.9582925e+02   0.000000e+00   4.225288e+04    161s
   46752    4.9565667e+02   0.000000e+00   4.781295e+05    166s
   47442    4.9541426e+02   0.000000e+00   3.993362e+05    171s
   48112    4.9524688e+02   0.000000e+00   2.270226e+05    176s
   48762    4.9510278e+02   0.000000e+00   5.757937e+05    180s
   49422    4.9496140e+02   0.000000e+00   3.914075e+05    185s
   50092    4.9484076e+02   0.000000e+00   4.416904e+05    190s
   50772    4.9469542e+02   0.000000e+00   3.111846e+05    195s
   51442    4.9456518e+02   0.000000e+00   2.031781e+04    200s
   52122    4.9445837e+02   0.000000e+00   1.263672e+05    205s
   52772    4.9436025e+02   0.000000e+00   5.045469e+05    210s
   53442    4.9423506e+02   0.000000e+00   6.478954e+05    215s
   54132    4.9411751e+02   0.000000e+00   6.554957e+05    221s
   54822    4.9400280e+02   0.000000e+00   3.266234e+05    226s
   55512    4.9391145e+02   0.000000e+00   1.275026e+05    231s
   56052    4.9381345e+02   0.000000e+00   3.773608e+04    235s
   56762    4.9374055e+02   0.000000e+00   6.527856e+04    241s
   57462    4.9364247e+02   0.000000e+00   2.870727e+05    246s
   57972    4.9357732e+02   0.000000e+00   3.327959e+04    250s
   58672    4.9351400e+02   0.000000e+00   4.475742e+04    256s
   59382    4.9343186e+02   0.000000e+00   1.099299e+05    261s
   59902    4.9335734e+02   0.000000e+00   2.019785e+05    265s
   60612    4.9326969e+02   0.000000e+00   2.169071e+04    271s
   61312    4.9321439e+02   0.000000e+00   6.774928e+05    276s
   61822    4.9315982e+02   0.000000e+00   1.617493e+05    280s
   62542    4.9309782e+02   0.000000e+00   3.026768e+05    286s
   63062    4.9306612e+02   0.000000e+00   4.528958e+05    290s
   63772    4.9301342e+02   0.000000e+00   8.832513e+04    296s
   64472    4.9296637e+02   0.000000e+00   1.414609e+05    301s
   64992    4.9293598e+02   0.000000e+00   9.638547e+04    305s
   65692    4.9288139e+02   0.000000e+00   8.407147e+04    310s
   66382    4.9282192e+02   0.000000e+00   1.300411e+05    316s
   67082    4.9277363e+02   0.000000e+00   3.650956e+04    321s
   67622    4.9274619e+02   0.000000e+00   9.429722e+03    325s
   68302    4.9271602e+02   0.000000e+00   9.596641e+04    331s
   69012    4.9268213e+02   0.000000e+00   2.449720e+04    336s
   69532    4.9265712e+02   0.000000e+00   2.672903e+04    340s
   70202    4.9263435e+02   0.000000e+00   2.358514e+04    346s
   70892    4.9260146e+02   0.000000e+00   1.021482e+05    351s
   71402    4.9258489e+02   0.000000e+00   6.726694e+03    355s
   72102    4.9255923e+02   0.000000e+00   5.814754e+04    361s
   72812    4.9253223e+02   0.000000e+00   7.543990e+04    366s
   73322    4.9251971e+02   0.000000e+00   1.266036e+04    370s
   74032    4.9250426e+02   0.000000e+00   7.077082e+04    376s
   74562    4.9249484e+02   0.000000e+00   9.655220e+04    380s
   75282    4.9248022e+02   0.000000e+00   8.648544e+03    386s
   75822    4.9247142e+02   0.000000e+00   4.187017e+04    390s
   76512    4.9246018e+02   0.000000e+00   7.692705e+04    396s
   77152    4.9244789e+02   0.000000e+00   8.752374e+03    401s
   77812    4.9243747e+02   0.000000e+00   5.978592e+03    406s
   78452    4.9242563e+02   0.000000e+00   4.806205e+03    411s
   78992    4.9241554e+02   0.000000e+00   2.730640e+04    416s
   79702    4.9238252e+02   0.000000e+00   8.258691e+04    421s
   80232    4.9237403e+02   0.000000e+00   4.667627e+03    425s
   80862    4.9236658e+02   0.000000e+00   6.333909e+03    431s
   81552    4.9235872e+02   0.000000e+00   2.525023e+03    436s
   82092    4.9235417e+02   0.000000e+00   6.504506e+03    441s
   82812    4.9234840e+02   0.000000e+00   2.006282e+03    446s
   83342    4.9234586e+02   0.000000e+00   7.513655e+03    450s
   84052    4.9234219e+02   0.000000e+00   6.781907e+02    456s
   84582    4.9233992e+02   0.000000e+00   1.152510e+04    460s
   85312    4.9233286e+02   0.000000e+00   7.464976e+04    466s
